Gene,m1,m2,m3,m4,m5,m6,m7,m8,m9
Kdelc2,13.80899151,24.72026568,27.01560812,34.45380748,22.23316911,33.51119724,25.97918731,41.45215764,46.6960561
Kdelr1,213.5790686,257.5027675,234.4954785,296.6855645,216.3458379,176.2980376,191.1325924,212.7356015,210.1322524
Kdelr2,131.645719,146.2615719,117.7880514,141.6434308,106.8902361,77.2214545,104.8445774,111.842614,151.2546165
Kdelr3,2.761798301,3.09003321,2.16124865,0.957050208,4.275609444,5.828034302,0,0.782116182,3.045394963
Kdm1a,551.4390609,559.296011,578.1340138,703.4319028,626.8043446,630.8847132,602.1604488,483.3478004,495.3842473
Kdm1b,122.4397247,100.9410849,113.4655541,69.86466518,64.13414167,61.19436017,95.56629619,104.0214522,108.619087
Kdm2a,573.5334473,657.1470626,686.1964463,636.4383883,548.1331308,629.4277046,746.9016353,651.5027795,636.4875473
Kdm2b,76.40975301,112.2712066,113.4655541,107.1896233,92.353164,112.1896603,133.607249,125.9207053,96.43750716
Kdm3a,270.6562335,250.29269,306.8973083,191.4100416,230.0277881,262.2615436,304.3276228,307.3716595,296.4184431
Kdm3b,274.3386313,341.9636752,323.1066731,300.5137653,324.9463178,425.446504,420.3061376,369.1588379,366.4625272
Kdm4a,370.0809724,409.9444058,409.5566191,416.3168404,477.158014,447.3016327,427.7287626,466.9233606,447.6730596
Kdm4b,424.396339,574.746177,659.1808382,710.1312543,534.4511806,729.9612963,608.6552456,624.9108294,431.4309531
Kdm4c,436.3641316,364.6239188,353.3641542,253.6183051,383.0946062,361.3381267,385.0486691,358.2092113,351.2355524
Kdm4d,2.761798301,8.240088559,5.403121624,10.52755229,3.420487556,7.285042877,7.422624947,9.385394183,3.045394963
Kdm5a,686.7671776,618.006642,673.2289544,372.2925309,730.2740931,798.4406994,750.6129477,726.585933,717.6980796
Kdm5b,554.2008592,642.7269076,650.5358436,797.2228232,776.4506751,1028.648054,814.6330879,769.602323,769.469794
