"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007N19Rik",6.90943944201663,-0.157733326069775,0.901472490032625,-0.174972977893165,0.861100866526031,NA
"0610007P14Rik",149.122176083752,-0.0499538291990968,0.222940688990752,-0.224067797696494,0.82270454914563,0.94413266239238
"0610009B22Rik",81.2352660461105,-0.0300237089592005,0.264537714045487,-0.113495004171836,0.909638123585071,0.972893242974768
"0610009D07Rik",242.566189641774,-0.1004584135012,0.197453233904923,-0.508770666929529,0.610912982400613,0.866829327233576
"0610009L18Rik",20.7390261080821,0.131373202583782,0.47264770128965,0.277951637605179,0.781049483950309,NA
"0610009O20Rik",202.103104538853,-0.255605284601114,0.196110849915565,-1.30337145910675,0.192447975529193,0.574949844532743
"0610010F05Rik",354.545179625286,-0.670850848356663,0.227849332226552,-2.94427392786752,0.00323713346559441,0.075231266950411
"0610010K14Rik",47.6574614738396,0.0469754332747675,0.335787235262289,0.139896423513759,0.888741827123783,0.967311225292246
"0610011F06Rik",79.9850024245962,0.255118444191792,0.269045298960303,0.948236022623961,0.343009312434371,0.716815895900378
"0610012G03Rik",141.836078653925,-0.121609273048974,0.259900215915798,-0.467907549135599,0.639850704702682,0.877780593343918
"0610030E20Rik",79.2596153803626,0.330280010776854,0.288236998588493,1.14586264911946,0.251851987959895,0.639907411833331
"0610031J06Rik",87.5237255811218,0.365389649711718,0.306631891305808,1.19162311576819,0.233409056992192,0.620968205934888
"0610037L13Rik",133.477605726072,-0.310997979606651,0.233399375361236,-1.33247134498674,0.18270535150969,0.564134457615161
"0610040B10Rik",8.63926087454843,-0.239804677093842,0.779774709753994,-0.307530718929697,0.758439444806045,NA
"0610040F04Rik",3.45414015040136,2.16285807194104,1.2871777089668,1.68031038517372,0.0928969415226208,NA
"0610040J01Rik",16.7899712796192,0.0710566386241367,0.566692107110646,0.125388438858674,0.900216040334446,NA
"0610043K17Rik",26.1689507993136,-0.168527948996961,0.460514757786345,-0.365955588062064,0.714398215772777,NA
"1110001A16Rik",50.1216822251055,0.10328282894721,0.33726610179961,0.306235427741197,0.759425399869055,0.923920267072163
"1110001J03Rik",66.0483741953796,-0.139888238364465,0.322133594893992,-0.434255354243631,0.664103020408339,0.887060635445989
"1110002L01Rik",25.301672548957,0.0272682483447411,0.451918205086251,0.0603389021239735,0.951885718959668,NA
"1110004E09Rik",84.4650826663082,-0.465000593783784,0.272129361549579,-1.70874833621754,0.0874975763589218,0.417353945824134
"1110004F10Rik",141.444196492812,0.364124272940155,0.256434468548191,1.41995058231311,0.155622068443087,0.530767732011152
"1110006O24Rik",1.48184761658867,-0.424105466571001,2.19981775416071,-0.192791182709955,0.847122509126097,NA
"1110007C09Rik",16.2986297958753,-0.780092711292033,0.574469535184215,-1.35793573638658,0.174484076588934,NA
"1110008F13Rik",207.761439751843,0.078970255469922,0.19218656283595,0.410904145974716,0.681142822225439,0.894756957060225
"1110008J03Rik",56.1722616650769,-0.130704784933519,0.368953684311153,-0.354257974622338,0.723145559495946,0.911142679512983
"1110008L16Rik",40.2514858689506,-0.127463556982814,0.378457601866597,-0.336797454600329,0.736269592027714,0.913946981430207
"1110008P14Rik",150.090424718271,-0.150344936328327,0.301755848298731,-0.498233711710831,0.618319323876129,0.869954303358432
"1110012L19Rik",24.4333169823606,0.247907584451518,0.481173955781989,0.515214054028809,0.606403449261682,NA
"1110015O18Rik",1.23429860803976,0.164515358154139,1.77823364428783,0.0925161655121123,0.926287948081477,NA
"1110017D15Rik",6.78744992164438,0.485471652162992,0.888154015145662,0.546607507126309,0.584648410445314,NA
"1110018G07Rik",1464.61964946019,-0.245872598276337,0.159267906057216,-1.54376738140834,0.12264469604257,0.476036324426167
"1110019D14Rik",11.6065185206182,-0.171428726170241,0.635703659556772,-0.269667672339286,0.787415933154697,NA
"1110020A21Rik",3.70146278424149,-0.50846418484661,1.16047427599846,-0.4381520515904,0.661276063996565,NA
