"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007N19Rik",6.90943944201663,-0.64403148720391,0.82813816575218,-0.777686035782387,0.436754126462084,NA
"0610007P14Rik",149.122176083752,-0.41637928921252,0.202450334654496,-2.05669844864972,0.0397152414972475,0.153977898320624
"0610009B22Rik",81.2352660461105,0.0566239473598214,0.235537629455011,0.240402977183894,0.810017870415261,0.908710481631415
"0610009D07Rik",242.566189641774,-0.571101871028369,0.179365619184675,-3.18400969831549,0.00145250145820786,0.0161086446441525
"0610009L18Rik",20.7390261080821,-0.982393640624244,0.4569146109566,-2.15005958896236,0.0315505015922292,NA
"0610009O20Rik",202.103104538853,-0.515247001742687,0.177050364308319,-2.91017193754781,0.0036122997391487,0.0310391228162516
"0610010F05Rik",354.545179625286,-0.209694581546911,0.201558901002789,-1.04036378698061,0.298170919381845,0.531449730192864
"0610010K14Rik",47.6574614738396,-0.072293246763761,0.302556302072217,-0.238941467319049,0.811150970406601,0.909204511015118
"0610011F06Rik",79.9850024245962,-0.412717828812601,0.249481374819449,-1.65430316836792,0.0980659295590489,0.275377801190808
"0610012G03Rik",141.836078653925,-0.494002597456605,0.235229147024261,-2.1000909271063,0.035720843287035,0.143606562887662
"0610030E20Rik",79.2596153803626,0.834665354317327,0.253433598259072,3.29342818020558,0.000989736234700657,0.012193797324737
"0610031J06Rik",87.5237255811218,0.348076774965076,0.27522178588776,1.26471374292669,0.205973961684435,0.431356859810847
"0610037L13Rik",133.477605726072,-0.134755309611413,0.206652472539676,-0.652086606829931,0.514345303541554,0.720301989588698
"0610040B10Rik",8.63926087454843,-0.384046492177305,0.70205909873603,-0.547028722893461,0.584358999153872,NA
"0610040F04Rik",3.45414015040136,1.58244516414182,1.21004130130116,1.30776128256136,0.190954290187852,NA
"0610040J01Rik",16.7899712796192,-0.297539953701115,0.517788381893621,-0.574636210671572,0.565537357053444,NA
"0610043K17Rik",26.1689507993136,-0.601603159505091,0.421807569352636,-1.42625026959188,0.153796113831114,0.364291686671053
"1110001A16Rik",50.1216822251055,-0.405042736062562,0.310175316746904,-1.30585096296708,0.191603245246749,0.414380475645852
"1110001J03Rik",66.0483741953796,-0.418751695944366,0.291588986175963,-1.43610258204905,0.150973153489162,0.360637726773698
"1110002L01Rik",25.301672548957,-0.456318454785121,0.416099535096087,-1.09665696857783,0.272791373958213,NA
"1110004E09Rik",84.4650826663082,0.0924211851017144,0.235087065473089,0.393135985239027,0.694219047087779,0.843792140334961
"1110004F10Rik",141.444196492812,-0.0595477730308932,0.232831757360835,-0.255754514357799,0.798140398248294,0.903348081553947
"1110006O24Rik",1.48184761658867,0.581256532353803,1.86792604968546,0.311177486095706,0.755665697474922,NA
"1110007C09Rik",16.2986297958753,-0.239933988420939,0.490205914792055,-0.489455514878312,0.624519241360919,NA
"1110008F13Rik",207.761439751843,-0.221964246145961,0.174043398221945,-1.27533849840662,0.202189456840329,0.427920472930336
"1110008J03Rik",56.1722616650769,-0.619499613269495,0.336629709580836,-1.84029987739609,0.0657242233753629,0.214394833123193
"1110008L16Rik",40.2514858689506,0.0220051888015807,0.33548291732445,0.0655925761498584,0.947702199760431,0.97681515339297
"1110008P14Rik",150.090424718271,-0.867292834824722,0.274610908262876,-3.15826068349219,0.00158713562868321,0.0171757881830102
"1110012L19Rik",24.4333169823606,-0.428208564445037,0.446752292886587,-0.958492147132062,0.337814649451692,NA
"1110015O18Rik",1.23429860803976,-0.415951392258287,1.66514224262537,-0.249799315404113,0.802742549195899,NA
"1110017D15Rik",6.78744992164438,0.583394669535719,0.795481412356402,0.733385671209548,0.463323236032265,NA
